text,options,answers
"Quel auxiliaire utilise-t-on pour former le passé composé des verbes réguliers en -ir ?","avoir,être,faire","avoir"
"Quelle est la forme correcte du verbe 'ouvrir' au passé composé avec 'ils' ?","ils ont ouvert,ils ont ouvré,ils ont ouvrir","ils ont ouvert"
"Comment conjugue-t-on le verbe 'monter' au passé composé avec 'je' ?","je suis monté,je suis monter,j'ai monté","je suis monté"
"Quelle est la forme correcte du verbe 'écrire' au passé composé avec 'tu' ?","tu as écrit,tu as écriré,tu as écrire","tu as écrit"
"Quel auxiliaire utilise-t-on pour former le passé composé des verbes de mouvement ?","être,avoir,faire","être"
"Quelle est la forme correcte du verbe 'mettre' au passé composé avec 'il' ?","il a mis,il a mettre,il a mit","il a mis"
"Comment conjugue-t-on le verbe 'tomber' au passé composé avec 'nous' ?","nous sommes tombés,nous avons tombé,nous avons tombés","nous sommes tombés"
"Quelle est la forme correcte du verbe 'connaître' au passé composé avec 'vous' ?","vous avez connu,vous avez connaître,vous avez connut","vous avez connu"
"Quel auxiliaire utilise-t-on pour former le passé composé des verbes de la maison d'être ?","être,avoir,faire","être"
"Quelle est la forme correcte du verbe 'apprendre' au passé composé avec 'elles' ?","elles ont appris,elles ont apprendu,elles ont apprisé","elles ont appris"
"Comment conjugue-t-on le verbe 'rester' au passé composé avec 'je' ?","je suis resté,je suis rester,j'ai resté","je suis resté"
"Quelle est la forme correcte du verbe 'dire' au passé composé avec 'tu' ?","tu as dit,tu as dire,tu as di","tu as dit"
"Quel auxiliaire utilise-t-on pour former le passé composé des verbes réflexifs ?","être,avoir,faire","être"
"Quelle est la forme correcte du verbe 'sortir' au passé composé avec 'il' ?","il est sorti,il a sortir,il a sorti","il est sorti"
"Comment conjugue-t-on le verbe 'revenir' au passé composé avec 'nous' ?","nous sommes revenus,nous avons revenir,nous avons revenus","nous sommes revenus"
"Quelle est la forme correcte du verbe 'vivre' au passé composé avec 'vous' ?","vous avez vécu,vous avez vivre,vous avez vécut","vous avez vécu"
"Quel auxiliaire utilise-t-on pour former le passé composé des verbes réguliers en -re ?","avoir,être,faire","avoir"
"Quelle est la forme correcte du verbe 'mourir' au passé composé avec 'elles' ?","elles sont mortes,elles ont mourir,elles ont mort","elles sont mortes"
"Comment conjugue-t-on le verbe 'retourner' au passé composé avec 'je' ?","je suis retourné,je suis retourner,j'ai retourné","je suis retourné"
"Quelle est la forme correcte du verbe 'courir' au passé composé avec 'tu' ?","tu as couru,tu as courir,tu as couré","tu as couru"
"Quel auxiliaire utilise-t-on pour former le passé composé des verbes de la maison d'être ?","être,avoir,faire","être"
"Quelle est la forme correcte du verbe 'dormir' au passé composé avec 'il' ?","il a dormi,il a dormir,il a dormi","il a dormi"
"Comment conjugue-t-on le verbe 'passer' au passé composé avec 'nous' ?","nous sommes passés,nous avons passer,nous avons passés","nous sommes passés"
"Quelle est la forme correcte du verbe 'naître' au passé composé avec 'vous' ?","vous êtes né,vous avez naître,vous avez né","vous êtes né"
"Quel auxiliaire utilise-t-on pour former le passé composé des verbes pronominaux ?","être,avoir,faire","être"
"Quelle est la forme correcte du verbe 'attendre' au passé composé avec 'elles' ?","elles ont attendu,elles ont attendir,elles ont attendé","elles ont attendu"
"Comment conjugue-t-on le verbe 'descendre' au passé composé avec 'je' ?","je suis descendu,je suis descendre,j'ai descendu","je suis descendu"
"Quelle est la forme correcte du verbe 'servir' au passé composé avec 'tu' ?","tu as servi,tu as servir,tu as serviré","tu as servi"
"Quel auxiliaire utilise-t-on pour former le passé composé des verbes de la maison d'être ?","être,avoir,faire","être"
"Quelle est la forme correcte du verbe 'grandir' au passé composé avec 'il' ?","il a grandi,il a grandir,il a grandit","il a grandi"
